PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long
31,BD4 0BX,419383,0431235,E02002234,53.777092,-1.707358
32,BD4 0BY,419394,0431267,E02002234,53.777379,-1.707189
33,BD4 0BZ,419433,0431310,E02002234,53.777764,-1.706594
34,BD4 0DA,419522,0431281,E02002234,53.7775,-1.705246
35,BD4 0DB,419541,0431338,E02002234,53.778012,-1.704954
36,BD4 0DE,419558,0431424,E02002234,53.778784,-1.70469
37,BD4 0DF,419522,0431487,E02002234,53.779351,-1.705233
38,BD4 0DG,419400,0431400,E02002234,53.778574,-1.707089
39,BD4 0DH,419400,0431400,E02002234,53.778574,-1.707089
40,BD4 0DJ,419390,0431386,E02002234,53.778449,-1.707242
41,BD4 0DL,419352,0431302,E02002234,53.777695,-1.707824
42,BD4 0DN,419263,0431340,E02002234,53.77804,-1.709172
43,BD4 0DP,419332,0431378,E02002234,53.778379,-1.708123
44,BD4 0DQ,419400,0431400,E02002234,53.778574,-1.707089
45,BD4 0DR,419273,0431425,E02002234,53.778818,-1.709019
46,BD4 0DS,419210,0431409,E02002234,53.778662,-1.709972
47,BD4 0DW,419311,0431317,E02002234,53.777831,-1.708445
48,BD4 0DX,419349,0431782,E02002234,53.782009,-1.70784
49,BD4 0DY,419350,0431708,E02002234,53.781344,-1.707829
50,BD4 0DZ,419296,0431639,E02002234,53.780726,-1.708653
51,BD4 0EA,419294,0431599,E02002234,53.780367,-1.708686
52,BD4 0EB,419384,0431639,E02002234,53.780723,-1.707317
53,BD4 0ED,419384,0431712,E02002234,53.781379,-1.707313
54,BD4 0EE,419422,0431776,E02002234,53.781953,-1.706732
55,BD4 0EF,419383,0431792,E02002234,53.782098,-1.707323
56,BD4 0EG,419406,0431828,E02002234,53.782421,-1.706972
57,BD4 0EH,419479,0431817,E02002234,53.782319,-1.705864
58,BD4 0EJ,419481,0431809,E02002234,53.782247,-1.705835
59,BD4 0EL,419452,0431831,E02002234,53.782446,-1.706273
60,BD4 0EN,419424,0431848,E02002234,53.7826,-1.706697
61,BD4 0EP,419356,0431862,E02002234,53.782728,-1.707728
62,BD4 0EQ,419489,0431768,E02002234,53.781878,-1.705716
63,BD4 0ER,419354,0431868,E02002234,53.782782,-1.707758
