PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long,closest_Supermarket,mean_closest_3_Supermarket,mean_closest_5_Supermarket,Supermarket_count400m,Supermarket_count800m,Supermarket_count1km,Supermarket_count1.6km,Supermarket_count2km
2784,BD128AG,414895,426306,E02002243,53.732952,-1.775698,0.7755480965098254,1.2490215446228268,1.2490215446228268,0,1,1,1,2
2785,BD128AH,415349,427484,E02002243,53.743512,-1.768755,0.6286907427344298,1.3914164220525356,1.3914164220525356,0,1,1,2,3
2786,BD128AJ,415303,427424,E02002243,53.742974,-1.769456,0.5781761409812504,1.3918401894788446,1.3918401894788446,0,1,1,1,3
2787,BD128AL,415176,427370,E02002243,53.742492,-1.771384,0.5713405726884537,1.4329439750349195,1.4329439750349195,0,1,1,1,3
2788,BD128AN,415306,427577,E02002243,53.744349,-1.769403,0.7273661045168132,1.1191464861848939,1.1191464861848939,0,1,1,2,2
2789,BD128AP,415270,427721,E02002243,53.745644,-1.769941,0.8755386056593714,1.127755534576378,1.127755534576378,0,0,1,2,2
2790,BD128AQ,415415,427465,E02002243,53.743354,-1.767759,0.603975703153671,1.3672051646753032,1.3672051646753032,0,1,1,1,3
2791,BD128AR,415374,427547,E02002243,53.744077,-1.768373,0.6884247598684743,1.400456364017077,1.400456364017077,0,1,1,2,3
2792,BD128AS,415439,427587,E02002243,53.744435,-1.767385,0.7256050234114744,1.3941802362538456,1.3941802362538456,0,1,1,2,3
2793,BD128AT,415390,427587,E02002243,53.744436,-1.768128,0.7270756838183802,1.1059662896400135,1.1059662896400135,0,1,1,2,2
2794,BD128AU,415340,427646,E02002243,53.744968,-1.768884,0.790487729189999,1.1133714646773247,1.1133714646773247,0,1,1,2,2
2795,BD128AW,415414,427597,E02002243,53.744525,-1.767764,0.7359379389595058,1.1035456140246978,1.1035456140246978,0,1,1,2,2
2796,BD128AX,415351,427665,E02002243,53.745138,-1.768716,0.8081145030253823,1.1117586362788932,1.1117586362788932,0,0,1,2,2
2797,BD128AY,415388,427689,E02002243,53.745353,-1.768154,0.8290082327697117,1.1068811812851889,1.1068811812851889,0,0,1,2,2
2798,BD128AZ,414854,426198,E02002243,53.731967,-1.776322,0.8827076809454064,1.3141347408136765,1.3141347408136765,0,0,1,1,2
2799,BD128BA,415303,427659,E02002243,53.745086,-1.769444,0.8086622595372926,1.1202028012293908,1.1202028012293908,0,0,1,2,2
2800,BD128BB,415334,427755,E02002243,53.745948,-1.768969,0.8994366292296283,1.1153067760532618,1.1153067760532618,0,0,1,2,2
2801,BD128BD,415312,427757,E02002243,53.745966,-1.769303,0.9041846326939843,1.1193089228549538,1.1193089228549538,0,0,1,2,2
2802,BD128BE,415700,426800,E02002243,53.737353,-1.763468,0.27075385500489,0.7410075905306639,0.7410075905306639,1,1,1,2,2
2803,BD128BG,415296,427787,E02002243,53.746236,-1.769544,0.9361727671749236,1.122811516754045,1.122811516754045,0,0,1,2,2
2804,BD128BH,415268,427771,E02002243,53.746093,-1.769969,0.9250389451260708,1.1287213939052063,1.1287213939052063,0,0,1,2,2
2805,BD128BJ,415287,427754,E02002243,53.74594,-1.769682,0.9050001381215116,1.1243277999561097,1.1243277999561097,0,0,1,2,2
2806,BD128BL,415259,427728,E02002243,53.745722,-1.770111,0.8845512138932123,1.1303835199951338,1.1303835199951338,0,0,1,2,2
2807,BD128BN,415241,427782,E02002243,53.746208,-1.770381,0.9410879076897931,1.1353691188319028,1.1353691188319028,0,0,1,2,2
2808,BD128BP,415228,427803,E02002243,53.746397,-1.770577,0.964364790937512,1.138993631669843,1.138993631669843,0,0,1,2,2
2809,BD128BT,415269,427846,E02002243,53.746767,-1.76995,0.9987123960379936,1.1294724571331383,1.1294724571331383,0,0,1,2,2
2810,BD128BU,415258,427848,E02002243,53.746786,-1.770117,1.0025818919170393,1.1320858809413554,1.1320858809413554,0,0,0,2,2
2811,BD128BW,415236,427867,E02002243,53.746972,-1.770453,1.025354304618627,1.1378691228271698,1.1378691228271698,0,0,0,2,2
2812,BD128BX,415241,427997,E02002243,53.748125,-1.770368,1.12628815140709,1.4254191690722156,1.4254191690722156,0,0,0,2,3
2813,BD128BY,415245,427892,E02002243,53.747182,-1.770312,1.0482042024338327,1.1360109996650432,1.1360109996650432,0,0,0,2,2
2814,BD128BZ,415244,427814,E02002243,53.746481,-1.770331,0.9718158518978537,1.1350236706354966,1.1350236706354966,0,0,1,2,2
2815,BD128DA,415171,427992,E02002243,53.748083,-1.771429,1.1573979436650126,1.421672528237519,1.421672528237519,0,0,0,2,3
2816,BD128DB,415172,427895,E02002243,53.747211,-1.771419,1.0668568085736463,1.1566242001648122,1.1566242001648122,0,0,0,2,2
2817,BD128DD,415132,427810,E02002243,53.746448,-1.772029,0.9962130545219474,1.168202975542861,1.168202975542861,0,0,1,2,2
2818,BD128DE,415134,427859,E02002243,53.746888,-1.771997,1.0423967814608537,1.168284165570208,1.168284165570208,0,0,0,2,2
2819,BD128DF,415004,427903,E02002243,53.747287,-1.773966,1.1277472456184237,1.4405015359145619,1.4405015359145619,0,0,0,2,3
2820,BD128DG,415237,428124,E02002243,53.749267,-1.770422,1.0100148513759588,1.402274930157067,1.5367305352803515,0,0,0,2,4
2821,BD128DH,415100,427751,E02002243,53.745919,-1.772518,0.9510446098895418,1.1789858789839673,1.1789858789839673,0,0,1,2,2
2822,BD128DJ,415039,427776,E02002243,53.746145,-1.773441,0.9971662098165722,1.467886018426289,1.467886018426289,0,0,1,2,3
2823,BD128DL,415017,427879,E02002243,53.747071,-1.77377,1.1006008586222087,1.4451477102542092,1.4451477102542092,0,0,0,2,3
2824,BD128DN,415087,427932,E02002243,53.747546,-1.772706,1.1261415763570501,1.431919058174625,1.431919058174625,0,0,0,2,3
2825,BD128DP,415130,428099,E02002243,53.749045,-1.772046,1.079058849182935,1.4004788533820538,1.537252065252133,0,0,0,2,4
2826,BD128DQ,415184,427764,E02002243,53.746033,-1.771243,0.9371990450272301,1.1509639779184961,1.1509639779184961,0,0,1,2,2
2827,BD128DR,415052,428027,E02002243,53.748401,-1.773232,1.1798186301292246,1.4133471940220717,1.4133471940220717,0,0,0,2,3
2828,BD128DS,414963,428004,E02002243,53.748196,-1.774583,1.2367488225181116,1.421665080935703,1.421665080935703,0,0,0,2,3
2829,BD128DT,414988,428023,E02002243,53.748366,-1.774203,1.2162581962724854,1.4164027018908425,1.4164027018908425,0,0,0,2,3
2830,BD128DU,414965,428047,E02002243,53.748582999999996,-1.77455,1.2086955778855153,1.4130703107849594,1.5559322354618368,0,0,0,2,4
2831,BD128DW,415100,427900,E02002243,53.747258,-1.77251,1.0916902720093935,1.4385987176810537,1.4385987176810537,0,0,0,2,3
2832,BD128DX,414840,428008,E02002243,53.748236,-1.776448,1.2923874225633474,1.4327231202242812,1.4327231202242812,0,0,0,2,3
2833,BD128DY,414955,427965,E02002243,53.747846,-1.774706,1.2039861502525424,1.4302620257269363,1.4302620257269363,0,0,0,2,3
2834,BD128EA,414914,427931,E02002243,53.747542,-1.775329,1.190311492845439,1.4410865170988625,1.4410865170988625,0,0,0,2,3
2835,BD128EB,414976,427869,E02002243,53.746983,-1.774392,1.1077607368019244,1.449831565710742,1.449831565710742,0,0,0,2,3
2836,BD128ED,414951,427906,E02002243,53.747316,-1.774769,1.151826918421314,1.4433659368544387,1.4433659368544387,0,0,0,2,3
2837,BD128EE,414862,427778,E02002243,53.746168,-1.776125,1.0816543116910984,1.483969743869424,1.483969743869424,0,0,0,2,3
2838,BD128EH,415019,427810,E02002243,53.746451,-1.773743,1.0363306663415621,1.460829338424532,1.460829338424532,0,0,0,2,3
2839,BD128EJ,414900,427800,E02002243,53.746365,-1.775548,1.0810123264791867,1.4734818042879585,1.4734818042879585,0,0,0,2,3
2840,BD128EL,415037,427825,E02002243,53.746585,-1.773469,1.043055823050687,1.4564807121819554,1.4564807121819554,0,0,0,2,3
2841,BD128EN,415091,427817,E02002243,53.746512,-1.772651,1.0160725613852326,1.1829371993466067,1.1829371993466067,0,0,0,2,2
2842,BD128EP,415000,427700,E02002243,53.745463,-1.774036,0.94530823015562,1.2196890874853943,1.2196890874853943,0,0,1,2,2
2843,BD128EQ,414900,427800,E02002243,53.746365,-1.775548,1.0810123264791867,1.4734818042879585,1.4734818042879585,0,0,0,2,3
2844,BD128ER,415106,427721,E02002243,53.745649,-1.772428,0.9208747200352241,1.1766642793665012,1.1766642793665012,0,0,1,2,2
2845,BD128ES,415207,427608,E02002243,53.74463,-1.770902,0.7810185977298876,1.1435049827835173,1.1435049827835173,0,1,1,2,2
2846,BD128ET,415171,427600,E02002243,53.744559,-1.771448,0.7848019176836658,1.154550878477071,1.154550878477071,0,1,1,2,2
2847,BD128EU,415180,427567,E02002243,53.744262,-1.771313,0.750707033402486,1.1518874824747949,1.1518874824747949,0,1,1,2,2
2848,BD128EW,414694,427339,E02002243,53.742227,-1.778693,0.8826726743249507,1.4188433703852548,1.4188433703852548,0,0,1,1,2
2849,BD128EX,415171,427544,E02002243,53.744056,-1.771451,0.7323433962288197,1.155021810619948,1.155021810619948,0,1,1,2,2
2850,BD128EY,414705,427353,E02002243,53.742353,-1.778526,0.8811754933042341,1.409310230132293,1.409310230132293,0,0,1,1,2
2851,BD128EZ,414208,427806,E02002243,53.746453,-1.786043,1.5231772713640392,1.5870706509774575,1.6643101743600546,0,0,0,2,4
2852,BD128HH,415363,427138,E02002243,53.740416,-1.768563,0.28614760177220677,1.3023858829563335,1.3023858829563335,1,1,1,1,3
2853,BD128HJ,415280,427099,E02002243,53.740068,-1.769823,0.28440015822777825,1.3308625734541926,1.3308625734541926,1,1,1,1,3
2854,BD128HL,415300,427100,E02002243,53.740062,-1.769517,0.27478655352834447,1.3213484362261756,1.3213484362261756,1,1,1,1,3
2855,BD128HN,415355,427190,E02002243,53.740869000000004,-1.768679,0.3385079762723219,1.3170724796351392,1.3170724796351392,1,1,1,1,3
2856,BD128HP,415330,427156,E02002243,53.740564,-1.769059,0.3131913951563545,1.3192454195259804,1.3192454195259804,1,1,1,1,3
2857,BD128HQ,415102,427090,E02002243,53.739977,-1.772519,0.4049869750991772,1.1307954319620734,1.1307954319620734,0,1,1,1,2
2858,BD128HR,415366,427165,E02002243,53.740644,-1.768513,0.31163287695617775,1.3073624263975685,1.3073624263975685,1,1,1,1,3
