PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long,closest_Supermarket,mean_closest_3_Supermarket,mean_closest_5_Supermarket,Supermarket_count400m,Supermarket_count800m,Supermarket_count1km,Supermarket_count1.6km,Supermarket_count2km
112,BD4 0LL,419472,430807,E02002234,53.773242,-1.706034,1.7187232703375965,1.7187232703375965,1.7187232703375965,0,0,0,0,1
113,BD4 0LN,419498,430832,E02002234,53.773465,-1.705638,1.746293869885582,1.746293869885582,1.746293869885582,0,0,0,0,1
114,BD4 0LQ,419409,430645,E02002234,53.771788,-1.707,1.6539549812494776,1.6539549812494776,1.6539549812494776,0,0,0,0,1
115,BD4 0LS,419550,430878,E02002234,53.773877,-1.704846,1.8019511314128256,1.8019511314128256,1.8019511314128256,0,0,0,0,1
116,BD4 0LT,419508,430928,E02002234,53.774328,-1.70548,1.7657102480305098,1.7657102480305098,1.7657102480305098,0,0,0,0,1
117,BD4 0LU,419539,430938,E02002234,53.774416,-1.705009,1.7977289228356883,1.7977289228356883,1.7977289228356883,0,0,0,0,1
118,BD4 0LW,419719,430628,E02002234,53.771623,-1.702298,1.9643811442792747,1.9643811442792747,1.9643811442792747,0,0,0,0,1
119,BD4 0LX,419563,430943,E02002234,53.77446,-1.704645,1.8221736141213227,1.8221736141213227,1.8221736141213227,0,0,0,0,1
120,BD4 0LY,419500,430900,E02002234,53.774076,-1.705603,1.7544699142475952,1.7544699142475952,1.7544699142475952,0,0,0,0,1
121,BD4 0LZ,419500,430900,E02002234,53.774076,-1.705603,1.7544699142475952,1.7544699142475952,1.7544699142475952,0,0,0,0,1
122,BD4 0NA,419600,430800,E02002234,53.773174,-1.704092,1.846154023910237,1.846154023910237,1.846154023910237,0,0,0,0,1
123,BD4 0NB,419636,430865,E02002234,53.773757,-1.703542,1.886445143649812,1.886445143649812,1.886445143649812,0,0,0,0,1
124,BD4 0ND,419629,430786,E02002234,53.773047,-1.703653,1.874473920864187,1.874473920864187,1.874473920864187,0,0,0,0,1
125,BD4 0NE,419672,430687,E02002234,53.772156,-1.703007,1.915902314837569,1.915902314837569,1.915902314837569,0,0,0,0,1
126,BD4 0NF,419727,430716,E02002234,53.772429,-1.702174,1.9708214733962977,1.9708214733962977,1.9708214733962977,0,0,0,0,1
127,BD4 0NG,419672,430687,E02002234,53.772156,-1.703007,1.915902314837569,1.915902314837569,1.915902314837569,0,0,0,0,1
128,BD4 0NH,419700,430700,E02002234,53.772271,-1.702582,1.943811894191399,1.943811894191399,1.943811894191399,0,0,0,0,1
129,BD4 0NJ,419672,430790,E02002234,53.773081,-1.703001,1.9176057676175147,1.9176057676175147,1.9176057676175147,0,0,0,0,1
130,BD4 0NL,419600,430800,E02002234,53.773174,-1.704092,1.846154023910237,1.846154023910237,1.846154023910237,0,0,0,0,1
131,BD4 0NN,419731,430810,E02002234,53.773259,-1.702104,1.9774946978437027,1.9774946978437027,1.9774946978437027,0,0,0,0,1
132,BD4 0NP,419767,430799,E02002234,53.773159,-1.701559,NA,NA,NA,NA,NA,NA,NA,NA
133,BD4 0NQ,419796,430765,E02002234,53.772852,-1.701121,NA,NA,NA,NA,NA,NA,NA,NA
134,BD4 0NR,419785,430855,E02002234,53.773661,-1.701282,NA,NA,NA,NA,NA,NA,NA,NA
135,BD4 0NS,419735,430909,E02002234,53.774148,-1.702037,1.9891038886895671,1.9891038886895671,1.9891038886895671,0,0,0,0,1
136,BD4 0NT,419715,430903,E02002234,53.774095,-1.702341,1.9686015036060394,1.9686015036060394,1.9686015036060394,0,0,0,0,1
137,BD4 0NU,419731,430876,E02002234,53.773852,-1.7021,1.98203523682097,1.98203523682097,1.98203523682097,0,0,0,0,1
138,BD4 0NW,419750,430774,E02002234,53.772935,-1.701818,1.994932149222112,1.994932149222112,1.994932149222112,0,0,0,0,1
139,BD4 0NX,419759,430848,E02002234,53.773599,-1.701677,NA,NA,NA,NA,NA,NA,NA,NA
140,BD4 0NY,419558,430643,E02002234,53.771764,-1.70474,1.8029291943944876,1.8029291943944876,1.8029291943944876,0,0,0,0,1
141,BD4 0NZ,419700,430800,E02002234,53.77317,-1.702575,1.9460330624118278,1.9460330624118278,1.9460330624118278,0,0,0,0,1
142,BD4 0PA,419694,430872,E02002234,53.773817,-1.702662,1.9448290104788024,1.9448290104788024,1.9448290104788024,0,0,0,0,1
143,BD4 0PB,419670,430922,E02002234,53.774268,-1.703023,1.9258612307224945,1.9258612307224945,1.9258612307224945,0,0,0,0,1
144,BD4 0PD,419742,430994,E02002234,53.774912,-1.701926,NA,NA,NA,NA,NA,NA,NA,NA
145,BD4 0PE,419466,430912,E02002234,53.774185,-1.706119,1.7220694178806975,1.7220694178806975,1.7220694178806975,0,0,0,0,1
146,BD4 0PF,419479,430847,E02002234,53.773601,-1.705925,1.7284952646738616,1.7284952646738616,1.7284952646738616,0,0,0,0,1
147,BD4 0PG,419365,430788,E02002234,53.773075,-1.707659,1.6108478761198912,1.6108478761198912,1.6108478761198912,0,0,0,0,1
148,BD4 0PH,419300,430800,E02002234,53.773185,-1.708644,1.5466107073210007,1.5466107073210007,1.5466107073210007,0,0,0,1,1
149,BD4 0PJ,419274,430924,E02002234,53.7743,-1.709031,1.5332621041426575,1.5332621041426575,1.5332621041426575,0,0,0,1,1
150,BD4 0PL,419363,430927,E02002234,53.774324,-1.70768,1.621818201895628,1.621818201895628,1.621818201895628,0,0,0,0,1
151,BD4 0PN,419672,430992,E02002234,53.774897,-1.702988,1.9369121508214981,1.9369121508214981,1.9369121508214981,0,0,0,0,1
152,BD4 0PQ,419375,430855,E02002234,53.773677,-1.707503,1.6255696478465527,1.6255696478465527,1.6255696478465527,0,0,0,0,1
153,BD4 0PW,419617,431095,E02002234,53.775825,-1.703816,1.900861878201561,1.900861878201561,1.900861878201561,0,0,0,0,1
154,BD4 0QE,419372,430364,E02002234,53.769264,-1.707579,1.651763142826463,1.651763142826463,1.651763142826463,0,0,0,0,1
155,BD4 0QF,419901,430880,E02002234,53.773882,-1.69952,NA,NA,NA,NA,NA,NA,NA,NA
156,BD4 0QQ,419821,430942,E02002234,53.774442,-1.70073,NA,NA,NA,NA,NA,NA,NA,NA
157,BD4 0QU,419852,430951,E02002234,53.774522,-1.700259,NA,NA,NA,NA,NA,NA,NA,NA
158,BD4 0QW,419899,430810,E02002234,53.773252,-1.699555,NA,NA,NA,NA,NA,NA,NA,NA
159,BD4 0QX,419828,431059,E02002234,53.775493,-1.700617,NA,NA,NA,NA,NA,NA,NA,NA
160,BD4 0QY,419891,431009,E02002234,53.775041,-1.699664,NA,NA,NA,NA,NA,NA,NA,NA
161,BD4 0QZ,419764,430953,E02002234,53.774543,-1.701594,NA,NA,NA,NA,NA,NA,NA,NA
162,BD4 0RA,419500,431900,E02002234,53.783064,-1.705541,NA,NA,NA,NA,NA,NA,NA,NA
163,BD4 0RB,419512,431883,E02002234,53.782926,-1.705363,NA,NA,NA,NA,NA,NA,NA,NA
164,BD4 0RD,419556,431906,E02002234,53.783116,-1.70469,NA,NA,NA,NA,NA,NA,NA,NA
165,BD4 0RG,419778,431615,E02002234,53.780492,-1.70134,NA,NA,NA,NA,NA,NA,NA,NA
166,BD4 0RH,419878,431111,E02002234,53.775974,-1.699858,NA,NA,NA,NA,NA,NA,NA,NA
167,BD4 0RQ,419737,431268,E02002234,53.777375,-1.701984,NA,NA,NA,NA,NA,NA,NA,NA
168,BD4 0SZ,419654,430823,E02002234,53.773379,-1.703272,1.901354064870601,1.901354064870601,1.901354064870601,0,0,0,0,1
169,BD4 0TF,419782,430644,E02002234,53.771765,-1.701341,NA,NA,NA,NA,NA,NA,NA,NA
170,BD4 0TG,419807,430652,E02002234,53.771836,-1.700961,NA,NA,NA,NA,NA,NA,NA,NA
171,BD4 0TJ,419522,431587,E02002234,53.78025,-1.705226,1.9730184185658224,1.9730184185658224,1.9730184185658224,0,0,0,0,1
172,BD4 0TL,419417,431487,E02002234,53.779355,-1.706826,1.834930156708963,1.834930156708963,1.834930156708963,0,0,0,0,1
173,BD4 0TN,419453,431451,E02002234,53.77903,-1.706282,1.85282591734895,1.85282591734895,1.85282591734895,0,0,0,0,1
174,BD4 0TP,419472,431397,E02002234,53.778544,-1.705997,1.8494176596972292,1.8494176596972292,1.8494176596972292,0,0,0,0,1
175,BD4 0TQ,419841,430732,E02002234,53.772554,-1.70044,NA,NA,NA,NA,NA,NA,NA,NA
176,BD4 0TW,419506,431393,E02002234,53.778507,-1.705481,1.879539964991427,1.879539964991427,1.879539964991427,0,0,0,0,1
177,BD4 0YP,419654,430823,E02002234,53.773379,-1.703272,1.901354064870601,1.901354064870601,1.901354064870601,0,0,0,0,1
178,BD4 0YR,419654,430823,E02002234,53.773379,-1.703272,1.901354064870601,1.901354064870601,1.901354064870601,0,0,0,0,1
179,BD4 0YS,419800,430700,E02002234,53.772268,-1.701064,NA,NA,NA,NA,NA,NA,NA,NA
180,BD4 0YT,419654,430823,E02002234,53.773379,-1.703272,1.901354064870601,1.901354064870601,1.901354064870601,0,0,0,0,1
181,BD4 0YU,419655,430815,E02002234,53.773307,-1.703257,1.901880301175644,1.901880301175644,1.901880301175644,0,0,0,0,1
182,BD4 0YY,419800,430700,E02002234,53.772268,-1.701064,NA,NA,NA,NA,NA,NA,NA,NA
183,BD4 0YZ,419654,430823,E02002234,53.773379,-1.703272,1.901354064870601,1.901354064870601,1.901354064870601,0,0,0,0,1
184,BD4 9AA,418657,430852,E02002234,53.773676,-1.718397,0.9124273560125115,0.9124273560125115,0.9124273560125115,0,0,1,1,1
185,BD4 9AB,418569,430862,E02002234,53.773769,-1.719732,0.8274846705528658,0.8274846705528658,0.8274846705528658,0,0,1,1,1
186,BD4 9AD,418612,430950,E02002234,53.774558,-1.719074,0.889685270193896,0.889685270193896,0.889685270193896,0,0,1,1,1
187,BD4 9AE,418768,430891,E02002234,53.774022,-1.716711,1.0284302990480108,1.0284302990480108,1.0284302990480108,0,0,0,1,1
188,BD4 9AF,418898,430943,E02002234,53.774485,-1.714735,1.1659749911554618,1.1659749911554618,1.1659749911554618,0,0,0,1,1
189,BD4 9AG,418711,430774,E02002234,53.772973,-1.717582,0.9571618880837135,0.9571618880837135,0.9571618880837135,0,0,1,1,1
190,BD4 9AH,418842,430778,E02002234,53.773004,-1.715595,1.0881319221491375,1.0881319221491375,1.0881319221491375,0,0,0,1,1
191,BD4 9AJ,418800,430824,E02002234,53.773419,-1.716229,1.0503591195395878,1.0503591195395878,1.0503591195395878,0,0,0,1,1
192,BD4 9AL,418809,430856,E02002234,53.773721,-1.716094,1.0633195568595448,1.0633195568595448,1.0633195568595448,0,0,0,1,1
193,BD4 9AN,418929,430778,E02002234,53.773001,-1.714275,1.1749592673790759,1.1749592673790759,1.1749592673790759,0,0,0,1,1
194,BD4 9AP,418893,430864,E02002234,53.773775,-1.714816,1.1476175669620856,1.1476175669620856,1.1476175669620856,0,0,0,1,1
195,BD4 9AQ,418795,430723,E02002234,53.772511,-1.716311,1.0389263111501104,1.0389263111501104,1.0389263111501104,0,0,0,1,1
196,BD4 9AR,419037,430848,E02002234,53.773626,-1.712632,1.2885596920593059,1.2885596920593059,1.2885596920593059,0,0,0,1,1
197,BD4 9AS,419154,430805,E02002234,53.773235,-1.710859,1.4012451891085906,1.4012451891085906,1.4012451891085906,0,0,0,1,1
198,BD4 9AT,419062,430730,E02002234,53.772565,-1.71226,1.3060060796183033,1.3060060796183033,1.3060060796183033,0,0,0,1,1
199,BD4 9AU,419133,430717,E02002234,53.772445,-1.711183,1.3768377827471063,1.3768377827471063,1.3768377827471063,0,0,0,1,1
200,BD4 9AX,419166,430659,E02002234,53.771923,-1.710686,1.4106101091371657,1.4106101091371657,1.4106101091371657,0,0,0,1,1
201,BD4 9AY,419027,430649,E02002234,53.771838,-1.712796,1.272113784218994,1.272113784218994,1.272113784218994,0,0,0,1,1
202,BD4 9AZ,419027,430649,E02002234,53.771853,-1.712799,1.272113784218994,1.272113784218994,1.272113784218994,0,0,0,1,1
203,BD4 9BA,418955,430713,E02002234,53.772416,-1.713884,1.1988160325921455,1.1988160325921455,1.1988160325921455,0,0,0,1,1
204,BD4 9BB,418957,430619,E02002234,53.771571,-1.71386,1.204005597993618,1.204005597993618,1.204005597993618,0,0,0,1,1
205,BD4 9BD,419027,430544,E02002234,53.770894,-1.712802,1.2811855759412711,1.2811855759412711,1.2811855759412711,0,0,0,1,1
