name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
Baildon Spice,1020018,415359.3,439225.4,Cliffe Avenue,"Baildon, Shipley",West Yorkshire,BD17 6NX,Bradford District,NA,Takeaways
Pizza Biella,1020018,422268.8,436342.5,Rodley Lane,"Rodley, Leeds",West Yorkshire,LS13 1LB,Leeds District,NA,Takeaways
Royal Eastern,1020018,410598.3,430159.9,Brighouse Road,"Queensbury, Bradford",West Yorkshire,BD13 1QD,Bradford District,NA,Takeaways
King's Cantonese Takeaway,1020018,422452.7,428980.5,King Street,"Drighlington, Bradford",West Yorkshire,BD11 1LW,Leeds District,NA,Takeaways
Pearl Dragon Cantonese Takeaway,1020018,423894.4,434554.8,Stanningley Road,Leeds,West Yorkshire,LS13 3EQ,Leeds District,NA,Takeaways
The Oasis Sandwich Bar,1020018,416848.9,433371.9,Barkerend Road,Bradford,West Yorkshire,BD1 4AP,Bradford District,NA,Takeaways
La Rue Restaurant,1020043,413762.1,437677.9,Bingley Road,Shipley,West Yorkshire,BD18 4SB,Bradford District,NA,Restaurants
Odsal Chinese,1020018,415266.5,429730.4,Smith Avenue,Bradford,West Yorkshire,BD6 1HH,Bradford District,NA,Takeaways
Oasis Take Away & Delivery,1020018,415902.8,432702.1,Morley Street,Bradford,West Yorkshire,BD7 1AF,Bradford District,NA,Takeaways
T C's Cafe,1020013,405712.2,440028.8,South Street,Keighley,West Yorkshire,BD21 1BB,Bradford District,NA,Cafes
