name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
Riga,9470669,416092,433517,Town Centre,Bradford,West Yorkshire,BD1 3JH,Bradford District,,Speciality Outlets
Hardee'Z,1020034,387167,406052,Market Place,"Middleton, Manchester",Greater Manchester,M24 6AF,Rochdale District,,Restaurants
International Convenience Store,9470699,386960,405952,Long Street,"Middleton, Manchester",Greater Manchester,M24 6TE,Rochdale District,,Convenience Stores
Wax Bar,1020034,430300,433779,City Centre,Leeds,West Yorkshire,LS1 6NU,Leeds District,,Restaurants
M & S Simply Food,9470699,430424,432655,Junction Street,Leeds,West Yorkshire,LS10 1ET,Leeds District,M & S,Convenience Stores
Clay Lane News & Off Licence,9470699,460764,406151,Livingstone Avenue,Doncaster,South Yorkshire,DN2 4SA,Doncaster District,,Convenience Stores
Go Local Extra,9470699,420071,419445,Calder Road,Mirfield,West Yorkshire,WF14 8PJ,Kirklees District,Go Local Extra,Convenience Stores
Vape Ideas,9470699,430510,437030,Harrogate Road,Leeds,West Yorkshire,LS7 3PD,Leeds District,,Convenience Stores
Budgens,9470699,432010,405772,Barnsley Road,"Dodworth, Barnsley",South Yorkshire,S75 3JR,Barnsley District,Budgens,Convenience Stores
The Lost & Found,1020034,430111,433623,City Centre,Leeds,West Yorkshire,LS1 6JL,Leeds District,The Lost & Found,Restaurants
Cuckoo,1020034,430346,433327,City Centre,Leeds,West Yorkshire,LS1 7BT,Leeds District,,Restaurants
Dana Store,9470699,430468,433443,New York Street,Leeds,West Yorkshire,LS2 7DY,Leeds District,,Convenience Stores
The Maven,1020034,430425,433441,Call Lane,Leeds,West Yorkshire,LS1 7DH,Leeds District,,Restaurants
Turners,9470699,429349,430170,Dewsbury Road,Leeds,West Yorkshire,LS11 7JX,Leeds District,,Convenience Stores
Delice De France,1020013,429884,433266,City Station,Leeds,West Yorkshire,LS1 4DT,Leeds District,Delice De France,Cafes
Beeston Shawarma,9470661,430115,431456,Burton Avenue,Leeds,West Yorkshire,LS11 5EJ,Leeds District,,Takeaways
Dial A Roti,1020018,414022,433685,Thornton Road,Bradford,West Yorkshire,BD8 9NB,Bradford District,,Takeaways
Hectic Vapes,9470699,427468.6,432600.3,Oldfield Lane,Leeds,West Yorkshire,LS12 4BR,Leeds District,,Convenience Stores
Mardy Crumb,1020013,420098,419405,Calder Road,Mirfield,West Yorkshire,WF14 8NR,Kirklees District,,Cafes
Krishna Stores,9470699,414645,431228,Southfield Lane,Bradford,West Yorkshire,BD5 9HQ,Bradford District,,Convenience Stores
Caribbean Grill,1020018,415130,431083,Southfield Road,Bradford,West Yorkshire,BD5 9EE,Bradford District,,Takeaways
Angie's Pantry,1020018,418841,432228,Beverley Street,Bradford,West Yorkshire,BD4 8PU,Bradford District,,Takeaways
The Cupcakery,1020013,418826,437380,New Line,Bradford,West Yorkshire,BD10 9AS,Bradford District,,Cafes
Best-One,9470699,429762,437076,Stainbeck Lane,Leeds,West Yorkshire,LS7 2EA,Leeds District,Best-One,Convenience Stores
Taphouse,1020034,478694,471652,Yorkersgate,Malton,North Yorkshire,YO17 7AB,Ryedale District,,Restaurants
Jack's Chippy,1020020,420064.9,419474.4,Calder Road,Mirfield,West Yorkshire,WF14 8PJ,Kirklees District,,Takeaways
The Snack Bar,1020013,426304,433069,Tong Road,Leeds,West Yorkshire,LS12 4NQ,Leeds District,,Cafes
Rajas Pizza Bar,1020018,415445,431322,Little Horton Lane,Bradford,West Yorkshire,BD5 9BY,Bradford District,,Takeaways
Isha Mini Market,9470699,415295,433580,Town Centre,Bradford,West Yorkshire,BD8 8JT,Bradford District,,Convenience Stores
Jan's Cafe @ the Ridge,1020013,414575,431676,Cousen Road,Bradford,West Yorkshire,BD7 3JX,Bradford District,,Cafes
Eastern European Mini Market,9470669,442539,425677.1,Albion Street,Castleford,West Yorkshire,WF10 1EW,Wakefield District,,Speciality Outlets
Food Plus,9470699,416085,433531,Town Centre,Bradford,West Yorkshire,BD1 3JH,Bradford District,Food Plus,Convenience Stores
The Avenue Bar & Restaurant,1020034,416534,432907,Bridge Street,Bradford,West Yorkshire,BD1 1JX,Bradford District,,Restaurants
Temptations,1020018,390752,413024,Milnrow Road,Rochdale,Greater Manchester,OL16 5DN,Rochdale District,,Takeaways
Premier Stores,9470699,388011,413937,Edenfield Road,Rochdale,Greater Manchester,OL11 5AF,Rochdale District,Premier,Convenience Stores
Cross Flatts European Shop,9470669,429081,431224.7,Beeston,Leeds,West Yorkshire,LS11 7LR,Leeds District,,Speciality Outlets
The Beer House,1020034,429928,433268,City Centre,Leeds,West Yorkshire,LS1 4DY,Leeds District,The Beer House,Restaurants
Moot Hall Arms,1020034,430046,433294,City Centre,Leeds,West Yorkshire,LS1 5DQ,Leeds District,,Restaurants
Suleman's Groceries,9470669,418546,433364,Killinghall Road,Bradford,West Yorkshire,BD3 8AB,Bradford District,,Speciality Outlets
Killinghall Fisheries,1020020,418574,433374,Killinghall Road,Bradford,West Yorkshire,BD3 8HN,Bradford District,,Takeaways
Peshawari Chapli Kebab,1020018,418574,433358,Killinghall Road,Bradford,West Yorkshire,BD3 8HN,Bradford District,,Takeaways
Euro Fc,1020018,418569,433156,Killinghall Road,Bradford,West Yorkshire,BD3 8DN,Bradford District,,Takeaways
My Khans Grill House,1020018,406053,441129,Town Centre,Keighley,West Yorkshire,BD21 3SE,Bradford District,,Takeaways
European Food,9470669,406073,441175,Town Centre,Keighley,West Yorkshire,BD21 3SE,Bradford District,,Speciality Outlets
Impero Pizza,1020018,420258,445479,New Market,Otley,West Yorkshire,LS21 3AE,Leeds District,,Takeaways
Jam Cafe & Sandwich Bar,1020013,423238,437522,New Road Side,"Horsforth, Leeds",West Yorkshire,LS18 4DR,Leeds District,,Cafes
Albion,1020018,421507.3,423681.3,Albion Street,Heckmondwike,West Yorkshire,WF16 9LW,Kirklees District,,Takeaways
Holland & Barrett,9470672,406147,441153,Airedale Centre,Keighley,West Yorkshire,BD21 3PX,Bradford District,Holland & Barrett,Speciality Outlets
J R's,9470699,415448,431327,Little Horton Lane,Bradford,West Yorkshire,BD5 9BY,Bradford District,,Convenience Stores
Chiefs,1020018,390443,411797,Oldham Road,Rochdale,Greater Manchester,OL16 4TD,Rochdale District,,Takeaways
Smith's,9470661,388361,410434,Manchester Road,Rochdale,Greater Manchester,OL11 2SP,Rochdale District,,Takeaways
The Commercial,1020034,388358,410450,Manchester Road,Rochdale,Greater Manchester,OL11 2SP,Rochdale District,,Restaurants
The Mighty Bite,1020018,388338,410495,Manchester Road,Rochdale,Greater Manchester,OL11 2SP,Rochdale District,,Takeaways
The Office,1020034,420124.2,419820.9,Huddersfield Road,Mirfield,West Yorkshire,WF14 8BE,Kirklees District,,Restaurants
Babyccinos,1020013,420372,419781,Huddersfield Road,Mirfield,West Yorkshire,WF14 8AN,Kirklees District,,Cafes
The Railway,1020034,398731.9,451358.3,Town Centre,Skipton,North Yorkshire,BD23 2AJ,Craven District,,Restaurants
Nostalgia Tea Rooms,1020013,420235.5,445584.1,Bay Horse Court,Otley,West Yorkshire,LS21 1SB,Leeds District,,Cafes
The Stockbridge Arms,1020020,407513,442303,Bradford Road,"Riddlesden, Keighley",West Yorkshire,BD21 4ES,Bradford District,,Takeaways
Roots & Shoots,9470672,406369,441301,Cavendish Street,Keighley,West Yorkshire,BD21 3RG,Bradford District,,Speciality Outlets
The Yorkshire Vaper,9470699,423676,437958,Horsforth,Leeds,West Yorkshire,LS18 5LJ,Leeds District,,Convenience Stores
The Finkle,1020034,461436,432403,Finkle Street,Selby,North Yorkshire,YO8 4DS,Selby District,,Restaurants
Pizza Amore,1020018,431653.8,419625.4,Horbury Road,Wakefield,West Yorkshire,WF2 8RB,Wakefield District,,Takeaways
My Gelato King,1020018,406053,441129,Town Centre,Keighley,West Yorkshire,BD21 3SE,Bradford District,,Takeaways
Southfield Mini Market,9470699,415035,431086,Southfield Lane,Bradford,West Yorkshire,BD5 9HU,Bradford District,,Convenience Stores
Tiggy's Tea Room,1020013,478222,403878,High Street,"Epworth, Doncaster",Lincolnshire,DN9 1EP,North Lincolnshire,,Cafes
Fawcett Fisheries,1020020,426248,431995,Lower Wortley Road,Leeds,West Yorkshire,LS12 4QB,Leeds District,,Takeaways
Reggies Grab N Go,1020018,419085,433533,Laisterdyke,Bradford,West Yorkshire,BD3 8JB,Bradford District,,Takeaways
New Bridge Chippy,1020020,388305,410540,Manchester Road,Rochdale,Greater Manchester,OL11 2SP,Rochdale District,,Takeaways
