PU_ID,pcd,oseast1m,osnrth1m,oslaua,msoa01,lat,long
173,BD1 1RR,416300,433100,E08000032,E02002221,53.793959,-1.754042
174,BD1 1RS,416300,433100,E08000032,E02002221,53.793959,-1.754042
175,BD1 1RU,416342,433052,E08000032,E02002221,53.793526,-1.753406
176,BD1 1RX,416348,433042,E08000032,E02002221,53.793436,-1.753316
177,BD1 1RY,416200,433000,E08000032,E02002221,53.793063,-1.755565
178,BD1 1RZ,416400,432900,E08000032,E02002221,53.792158,-1.752534
179,BD1 1SB,416300,433000,E08000032,E02002221,53.79306,-1.754047
180,BD1 1SD,416231,433000,E08000032,E02002221,53.793062,-1.755094
181,BD1 1SH,416488,433401,E08000032,E02002221,53.796658,-1.751172
182,BD1 1SJ,416300,433000,E08000032,E02002221,53.79306,-1.754047
183,BD1 1SL,416410,433056,E08000032,E02002221,53.79356,-1.752374
184,BD1 1SN,416296,433133,E08000032,E02002221,53.794256,-1.754101
185,BD1 1SP,416200,433100,E08000032,E02002221,53.793962,-1.75556
186,BD1 1SQ,416272,433086,E08000032,E02002221,53.793834,-1.754467
187,BD1 1SR,416308,433060,E08000032,E02002221,53.793599,-1.753922
188,BD1 1SS,416457,433102,E08000032,E02002221,53.793972,-1.751658
189,BD1 1ST,416286,433105,E08000032,E02002221,53.794004,-1.754254
190,BD1 1SU,416100,433100,E08000032,E02002221,53.793965,-1.757078
191,BD1 1SW,416286,433105,E08000032,E02002221,53.794019,-1.754257
192,BD1 1SX,416225,433099,E08000032,E02002221,53.793952,-1.75518
193,BD1 1SY,416220,433080,E08000032,E02002221,53.793797,-1.75526
194,BD1 1SZ,416204,433105,E08000032,E02002221,53.794022,-1.755502
195,BD1 1TA,416200,433100,E08000032,E02002221,53.793962,-1.75556
196,BD1 1TB,416100,433100,E08000032,E02002221,53.793965,-1.757078
197,BD1 1TE,416224,433172,E08000032,E02002221,53.794608,-1.755191
198,BD1 1TF,416203,433192,E08000032,E02002221,53.794789,-1.755509
199,BD1 1TG,416000,433000,E08000032,E02002221,53.793069,-1.758601
200,BD1 1TH,416161,433106,E08000032,E02002221,53.794017,-1.756151
201,BD1 1TJ,416200,432700,E08000032,E02002226,53.790367,-1.75558
202,BD1 1TN,416200,432900,E08000032,E02002226,53.792165,-1.75557
203,BD1 1TQ,416207,433245,E08000032,E02002221,53.79528,-1.755449
204,BD1 1TR,416217,432875,E08000032,E02002226,53.791939,-1.755313
205,BD1 1TS,416336,433158,E08000032,E02002221,53.794479,-1.753492
206,BD1 1TT,416600,433100,E08000032,E02002221,53.79395,-1.749487
207,BD1 1TU,416589,432783,E08000032,E02002221,53.791116,-1.749675
208,BD1 1TW,416428,433053,E08000032,E02002221,53.793533,-1.752101
209,BD1 1TZ,416400,433000,E08000032,E02002221,53.793057,-1.752529
210,BD1 1UA,416282,433153,E08000032,E02002221,53.794436,-1.754312
211,BD1 1UB,416300,433100,E08000032,E02002221,53.793959,-1.754042
