PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long,cls_Sup,cls_Tway,cls_ConSt,cls_Spec,mean3_Sup,mean3_Tway,mean5_ConSt,Spec_ct400,mean5_Sup,mean5_Tway,ConSt_ct800,Spec_ct1600,Sup_ct400,Sup_ct800,Sup_ct1000,Sup_ct1600,Sup_ct2000,Tway_ct400,Tway_ct800,Tway_ct1000,Tway_ct1600,Tway_ct2000,mean3_ConSt,ConSt_ct400,ConSt_ct1000,ConSt_ct1600,ConSt_ct2000,mean3_Spec,mean5_Spec,Spec_ct800,Spec_ct1000,Spec_ct2000
11,BD4 0AP,419294,431783,E02002234,53.78202,-1.708674,1.876975034463695,0.41550210589117353,1.2918552550498836,0.4671372068247494,1.8802332366274814,0.42310136590409647,1.5798413436305694,0,1.8802332366274814,0.5172096651426261,0,16,0,0,0,0,2,0,6,17,53,87,1.4164247930179676,0,0,3,8,0.5112111096568687,0.5796274977311618,5,7,27
12,BD4 0AQ,419450,431073,E02002234,53.775633,-1.706351,1.1574592865409998,0.47320714280323367,0.6154429299293315,0.23176785799587918,1.445196734393984,0.5226857056217047,1.1540922399817266,1,1.445196734393984,0.6697566866854835,2,13,0,0,0,1,2,0,3,19,38,44,0.7446747429904584,0,3,3,5,0.502960623768608,0.665268934331409,2,6,14
13,BD4 0AR,419600,431100,E02002234,53.77587,-1.704073,1.17128860662093,0.576584772605035,0.7030455177298267,0.19929460604843652,1.5282742253901704,0.6220037625354353,1.076311258561332,1,1.5282742253901704,0.7615139380281075,1,12,0,0,0,1,2,0,3,13,38,43,0.8303454637793011,0,3,3,4,0.5731214216966474,0.7404481782782605,2,5,14
14,BD4 0AT,419735,431205,E02002234,53.776809,-1.702018,1.2806471020542702,0.6572822833455957,0.8640098379069535,0.21645401359181274,1.2806471020542702,0.7291911957689579,1.2351481491547456,1,1.2806471020542702,0.8812015269905128,0,12,0,0,0,1,1,0,2,3,37,43,0.989435453262068,0,2,3,4,0.6445431391259974,0.8456277118221521,2,2,14
15,BD4 0AU,419600,431100,E02002234,53.77587,-1.704073,1.17128860662093,0.576584772605035,0.7030455177298267,0.19929460604843652,1.5282742253901704,0.6220037625354353,1.076311258561332,1,1.5282742253901704,0.7615139380281075,1,12,0,0,0,1,2,0,3,13,38,43,0.8303454637793011,0,3,3,4,0.5731214216966474,0.7404481782782605,2,5,14
16,BD4 0AW,419500,431100,E02002234,53.775874,-1.705591,1.177759313272453,0.49381170500505556,0.6585385334207863,0.19177679734524503,1.482669995586023,0.5510327037599799,1.2022217745846535,1,1.482669995586023,0.7034281123428721,2,13,0,0,0,1,2,0,3,17,38,43,0.7875579568962359,0,3,3,5,0.510139135915419,0.6864808349947367,2,5,14
17,BD4 0AX,419249,431833,E02002234,53.782471,-1.709354,1.869967454262237,0.37218679449977415,1.341001491423481,0.4649010647438872,1.9054662102290876,0.4241783112877572,1.5882203539907087,0,1.9054662102290876,0.49288201955901967,0,17,0,0,0,0,2,1,12,17,52,90,1.4643626493696495,0,0,2,8,0.5106467903855432,0.5736477570599485,6,7,29
18,BD4 0AY,419227,431804,E02002234,53.782211,-1.70969,1.8349660705310034,0.35655772323708834,1.312152430169605,0.44667885555508446,1.8759748192678478,0.39606662510785307,1.5632486687584755,0,1.8759748192678478,0.482127160863074,0,17,0,0,0,0,2,1,12,17,54,88,1.434919638981257,0,0,3,8,0.49510965470005175,0.5543985561027198,6,7,29
19,BD4 0AZ,419583,431170,E02002234,53.7765,-1.704327,1.2417447402747475,0.5282205978566152,0.7566901611624139,0.1277401268200447,1.5631770554700914,0.6066107837891881,1.1179391716270437,1,1.5631770554700914,0.7632333218787397,1,13,0,0,0,1,2,0,3,4,40,43,0.8850477846525796,0,2,3,4,0.522749744885478,0.7324428604958133,2,3,14
20,BD4 0BB,419407,431143,E02002234,53.776264,-1.706999,1.2335951523899564,0.394380526902635,0.6703737763367539,0.19398747382240178,1.4705263211719721,0.4873586599463779,1.183001562991788,2,1.4705263211719721,0.6428971955339218,2,13,0,0,0,1,2,1,3,17,42,44,0.7992439012183313,0,3,3,5,0.4431776360692685,0.6464594616467783,3,6,14
21,BD4 0BD,419355,431107,E02002234,53.775942,-1.707791,1.2087700360283589,0.3831031192773037,0.6244109223900556,0.25583264060708866,1.4284483468912708,0.46429868685153786,1.130250130382672,2,1.4284483468912708,0.614638046224192,2,13,0,0,0,1,2,2,3,18,41,45,0.752516412203356,0,3,4,5,0.44627869369526363,0.6338995172533,3,7,14
